;district;size (m²);price (M in HUF);balcony (m²);address;room(s);half_room(s)
24636;006;112;98.0;;Podmaniczky utca;3;1.0
24637;006;47;58.9;;Külső-Terézváros;1;
24638;006;59;63.8;;Belső-Terézváros;2;
24639;007;102;75.0;;Külső-Erzsébetváros;3;1.0
24640;007;34;34.9;;Külső-Erzsébetváros - Ligetváros;1;
24641;013;140;308.0;95.0;Vizafogó - Marinapart;2;2.0
24642;006;50;39.9;;Andrássy út;1;1.0
24643;013;110;81.8;;Angyalföld - Lőportárdűlő;3;
24644;002;125;132.0;28.0;Hidegkúti út;3;
24645;013;170;328.0;95.0;Marina sétány;3;1.0
24646;013;110;430.0;13.0;Szent István körút;4;
24647;011;50;37.9;;Etele út;2;
24648;007;67;94.9;;Klauzál utca;2;1.0
24649;019;62;49.0;8.0;Báthory utca;2;
24650;005;50;85.0;;Október 6. utca;2;
24651;014;178;179.0;88.0;Törökőr;4;1.0
24652;008;52;34.9;;Szigetvári utca;2;
24653;013;35;39.9;;Hajdú utca;1;1.0
24654;011;109;156.1;87.0;Madárhegy;4;
24655;011;148;159.7;16.0;Madárhegy;4;
24656;005;58;54.0;;Belváros;1;3.0
24657;005;47;51.0;;Belváros;2;
24658;005;47;49.0;;Belváros;2;
24659;005;79;109.9;;Károly körút;3;
24660;018;91;71.9;14.0;Jósika Miklós utca;4;
24661;007;167;156.0;;Király utca;5;
24662;013;63;101.6;14.0;Angyalföld;3;
24663;005;130;226.0;;Garibaldi utca;4;
24664;001;36;45.0;;Víziváros - Váralja;1;
24665;014;77;53.0;;Ajtósi Dürer sor;2;1.0
24666;005;47;51.0;;Múzeum körút;2;
24667;010;93;96.5;41.0;Kőbánya - Óhegy;4;
24668;007;21;19.9;;Bethlen Gábor utca;1;
24669;013;30;27.9;;Hegedűs Gyula utca;1;
24670;014;60;69.9;;Columbus utca;2;
24671;008;96;87.9;;Stáhly utca;2;
24672;006;75;75.9;;Zichy Jenő utca;3;1.0
24673;020;52;39.9;;Kossuth Lajos utca;2;
24674;018;37;25.0;;József utca;1;
24675;003;78;59.8;1.0;Nagyszombat utca;2;
24676;009;57;57.1;4.67;Haller utca;3;
24677;006;136;110.0;;Szondi utca;4;1.0
24678;006;33;44.52;;Vasvári Pál utca;1;
24679;008;85;54.9;;Nap utca;2;1.0
24680;004;83;54.0;;Megyer - Nagyváradi liget lakópark;4;
24681;008;46;35.9;;Józsefváros - Csarnoknegyed;1;1.0
24682;002;55;63.0;;Szépilona;3;
24683;002;78;110.0;;Zöldmál;2;
24684;017;55;43.0;;Szárazhegy út;2;1.0
24685;002;102;195.0;29.0;Ferenchegyi út;3;
24686;013;95;128.2;37.0;Csata utca;4;
24687;013;95;128.0;37.0;Csata utca;4;
24688;005;38;89.9;5.0;Belgrád rakpart;1;
24689;013;85;63.5;;Váci út;4;
24690;018;72;47.75;4.0;Csontváry Kosztka Tivadar utca;2;1.0
24691;004;86;81.3;8.0;Újpest-Központ;3;
24692;013;85;63.5;4.0;Újlipótváros;4;
24693;003;75;90.0;4.0;Pacsirtamező utca;3;
24694;005;87;115.0;;Falk Miksa utca;2;1.0
24695;007;35;28.75;;Izabella utca;1;
24696;008;73;35.9;;Lujza utca;2;
24697;006;83;81.63;;Teréz körút;3;
24698;008;28;20.5;;Mátyás tér;1;
24699;005;139;222.62;;Hercegprímás utca;4;
24700;007;64;55.0;;Király utca;3;
24701;011;125;125.9;14.0;Rétköz utca;3;
24702;006;39;54.9;;Lázár utca;3;
24703;013;60;63.0;6.0;Kárpát utca;2;1.0
24704;014;82;69.99;4.0;Nagy Lajos király útja;3;
24705;002;48;60.0;6.0;Pasaréti út;2;
24706;005;60;63.0;;Belgrád rakpart;2;
24707;007;68;57.0;;Thököly út;3;
24708;013;133;299.0;125.0;Danubius utca;3;
24709;012;189;189.0;;Krisztinaváros;10;
24710;006;91;89.9;;Aradi utca;4;
24711;011;64;60.9;;Karolina út;3;
24712;013;74;78.9;;Újlipótvárosi lakótelep;3;
24713;006;160;240.0;4.0;Andrássy út;3;
24714;005;175;260.0;;Szemere utca;3;
24715;002;135;139.0;19.0;Törökvész;4;
24716;006;144;100.19;6.0;Belső-Terézváros;4;
24717;002;55;63.0;;Szépilona;3;
24718;002;90;85.0;;Újlak;4;
24719;005;101;89.0;1.0;Bajcsy-Zsilinszky út;2;1.0
24720;013;42;38.9;4.0;Szent László út;1;1.0
24721;001;54;59.0;;Attila út;1;
24722;006;78;134.3;7.0;Király utca;4;
24723;007;68;72.0;9.0;Kazinczy utca;1;2.0
24724;007;107;105.0;4.0;Marek József utca;4;
24725;003;105;94.9;2.0;Bécsi út;5;
24726;005;110;119.0;;Belváros;2;
24727;007;56;45.0;;Dembinszky utca;2;
24728;014;96;69.49;10.0;Hungária körút;2;2.0
24729;002;103;122.0;9.0;Bognár utca;5;
24730;007;357;605.0;;Dohány utca;15;
24731;008;100;98.0;10.0;Déri Miksa utca;3;1.0
24732;006;72;112.9;;Külső-Terézváros;2;
24733;012;189;189.0;;Krisztinaváros - Városmajor;10;
24734;002;97;252.0;;Rózsadomb;4;
24735;007;104;119.0;;Belső-Erzsébetváros;4;
24736;012;89;80.0;;Németvölgy;3;
24737;007;76;60.0;;Bethlen Gábor utca;2;1.0
24738;007;78;105.0;;Belső-Erzsébetváros;3;
24739;007;60;38.5;;Garay utca;2;1.0
24740;006;57;46.9;;Csengery utca;2;
24741;006;68;55.0;;Bajnok utca;2;
24742;009;84;75.0;;Belső-Ferencváros;3;1.0
24743;005;33;36.0;;Veres Pálné utca;1;
